T;CP ;Rat;Abs;;;;;;;;;;;;;;;;;;;;;
0;1;A;0.77;;;;;;;;;;;;;;;;;;;;;
0;1;A;0.8;;;;;;;;;;;;;;;;;;;;;
0;1;B;1.037;;;;;;;;;;;;;;;;;;;;;
0;1;B;1.011;;;;;;;;;;;;;;;;;;;;;
0;1;C;1.305;;;;;;;;;;;;;;;;;;;;;
0;1;C;1.296;;;;;;;;;;;;;;;;;;;;;
0;8;A;1.024;;;;;;;;;;;;;;;;;;;;;
0;8;A;0.999;;;;;;;;;;;;;;;;;;;;;
0;8;B;1.317;;;;;;;;;;;;;;;;;;;;;
0;8;B;1.292;;;;;;;;;;;;;;;;;;;;;
0;8;C;1.517;;;;;;;;;;;;;;;;;;;;;
0;8;C;1.504;;;;;;;;;;;;;;;;;;;;;
15;1;A;0.792;;;;;;;;;;;;;;;;;;;;;
15;1;A;0.81;;;;;;;;;;;;;;;;;;;;;
15;1;B;1.052;;;;;;;;;;;;;;;;;;;;;
15;1;B;1.024;;;;;;;;;;;;;;;;;;;;;
15;1;C;1.319;;;;;;;;;;;;;;;;;;;;;
15;1;C;1.308;;;;;;;;;;;;;;;;;;;;;
15;8;A;1.055;;;;;;;;;;;;;;;;;;;;;
15;8;A;1.023;;;;;;;;;;;;;;;;;;;;;
15;8;B;1.344;;;;;;;;;;;;;;;;;;;;;
15;8;B;1.32;;;;;;;;;;;;;;;;;;;;;
15;8;C;1.535;;;;;;;;;;;;;;;;;;;;;
15;8;C;1.525;;;;;;;;;;;;;;;;;;;;;
30;1;A;0.808;;;;;;;;;;;;;;;;;;;;;
30;1;A;0.821;;;;;;;;;;;;;;;;;;;;;
30;1;B;1.059;;;;;;;;;;;;;;;;;;;;;
30;1;B;1.034;;;;;;;;;;;;;;;;;;;;;
30;1;C;1.329;;;;;;;;;;;;;;;;;;;;;
30;1;C;1.317;;;;;;;;;;;;;;;;;;;;;
30;8;A;1.079;;;;;;;;;;;;;;;;;;;;;
30;8;A;1.043;;;;;;;;;;;;;;;;;;;;;
30;8;B;1.369;;;;;;;;;;;;;;;;;;;;;
30;8;B;1.35;;;;;;;;;;;;;;;;;;;;;
30;8;C;1.556;;;;;;;;;;;;;;;;;;;;;
30;8;C;1.546;;;;;;;;;;;;;;;;;;;;;
45;1;A;0.833;;;;;;;;;;;;;;;;;;;;;
45;1;A;0.828;;;;;;;;;;;;;;;;;;;;;
45;1;B;1.072;;;;;;;;;;;;;;;;;;;;;
45;1;B;1.047;;;;;;;;;;;;;;;;;;;;;
45;1;C;1.343;;;;;;;;;;;;;;;;;;;;;
45;1;C;1.329;;;;;;;;;;;;;;;;;;;;;
45;8;A;1.107;;;;;;;;;;;;;;;;;;;;;
45;8;A;1.072;;;;;;;;;;;;;;;;;;;;;
45;8;B;1.404;;;;;;;;;;;;;;;;;;;;;
45;8;B;1.381;;;;;;;;;;;;;;;;;;;;;
45;8;C;1.579;;;;;;;;;;;;;;;;;;;;;
45;8;C;1.57;;;;;;;;;;;;;;;;;;;;;
60;1;A;0.858;;;;;;;;;;;;;;;;;;;;;
60;1;A;0.836;;;;;;;;;;;;;;;;;;;;;
60;1;B;1.086;;;;;;;;;;;;;;;;;;;;;
60;1;B;1.055;;;;;;;;;;;;;;;;;;;;;
60;1;C;1.351;;;;;;;;;;;;;;;;;;;;;
60;1;C;1.336;;;;;;;;;;;;;;;;;;;;;
60;8;A;1.134;;;;;;;;;;;;;;;;;;;;;
60;8;A;1.098;;;;;;;;;;;;;;;;;;;;;
60;8;B;1.434;;;;;;;;;;;;;;;;;;;;;
60;8;B;1.412;;;;;;;;;;;;;;;;;;;;;
60;8;C;1.598;;;;;;;;;;;;;;;;;;;;;
60;8;C;1.599;;;;;;;;;;;;;;;;;;;;;
75;1;A;0.867;;;;;;;;;;;;;;;;;;;;;
75;1;A;0.852;;;;;;;;;;;;;;;;;;;;;
75;1;B;1.094;;;;;;;;;;;;;;;;;;;;;
75;1;B;1.064;;;;;;;;;;;;;;;;;;;;;
75;1;C;1.348;;;;;;;;;;;;;;;;;;;;;
75;1;C;1.348;;;;;;;;;;;;;;;;;;;;;
75;8;A;1.163;;;;;;;;;;;;;;;;;;;;;
75;8;A;1.111;;;;;;;;;;;;;;;;;;;;;
75;8;B;1.415;;;;;;;;;;;;;;;;;;;;;
75;8;B;1.425;;;;;;;;;;;;;;;;;;;;;
75;8;C;1.608;;;;;;;;;;;;;;;;;;;;;
75;8;C;1.611;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
