Muestra 1;;;;
23/06/2023 20:11;;;;
Longitud de onda (nm);10mm Absorbance;;;
//WLCalib: Shift;-0,04667;;;
//WLCalib: 261S;0,05;;;
//WLCalib: 362S;0,17;;;
//WLCalib: 484S;0,16;;;
//WLCalib: 529S;0,29;;;
//WLCalib: 823S;0,07;;;
//QSpecEnd:;;;;
190;275,584;277,091;207,534;211,166
190,5;273,422;273,699;208,1;208,202
191;270,552;271,064;207,421;206,804
191,5;265,927;267,528;207,073;205,278
192;261,93;264,372;204,887;202,965
192,5;258,506;260,913;203,918;201,593
193;255,075;257,797;202,298;200,147
193,5;252,152;255,513;200,149;197,598
194;249,234;253,318;197,565;195,274
194,5;245,93;250,279;195,664;193,539
195;243,284;246,928;192,912;191,971
195,5;240,456;243,664;190,303;190,285
196;238,187;240,244;187,118;187,981
196,5;234,918;236,222;184,202;185,449
197;231,878;231,342;181,255;182,087
197,5;228,128;228,078;178,926;179,5
198;224,692;224,805;176,29;176,021
198,5;221,064;221,16;173,623;171,938
199;216,804;217,449;170,745;168,665
199,5;212,943;213,681;168,371;165,599
200;209,502;209,225;165,887;163,042
200,5;205,725;205,602;163,445;160,589
201;202,107;202,239;160,941;158,769
201,5;198,873;199,086;158,393;157,215
202;195,605;195,88;156,2;155,419
202,5;192,608;193,613;154,14;153,866
203;189,725;190,911;151,756;151,614
203,5;187,491;188,886;149,604;149,514
204;185,159;186,687;147,651;147,509
204,5;183,079;184,165;145,591;145,655
205;181,055;181,407;143,409;143,315
205,5;178,093;178,362;141,205;140,876
206;175,454;175,455;139,078;138,511
206,5;172,465;172,417;136,708;135,987
207;169,474;169,541;134,718;133,639
207,5;166,584;166,188;132,704;131,4
208;163,13;163,475;130,247;128,819
208,5;160,412;160,912;127,972;126,652
209;157,546;157,719;125,706;124,56
209,5;154,314;154,512;122,861;122,162
210;151,118;150,944;120,161;119,762
210,5;147,763;147,783;117,916;117,722
211;144,626;144,68;115,363;115,584
211,5;141,228;141,612;113,101;113,347
212;138,005;139,138;111,199;111,214
212,5;135,349;136,224;109,207;108,772
213;132,6;133,631;107,031;106,365
213,5;130,359;130,739;104,934;104,455
214;128,094;128,103;102,599;102,286
214,5;125,54;125,539;100,268;100,047
215;122,895;122,899;98,245;98,034
215,5;120,3;120,199;96,379;96,331
216;117,622;117,648;94,114;94,267
216,5;114,754;115,316;92,35;92,276
217;112,291;112,91;90,623;90,3
217,5;110,193;110,301;88,838;88,24
218;107,962;107,969;86,975;86,313
218,5;106,008;106,005;85,234;84,654
219;104,026;103,991;83,338;82,793
219,5;101,838;101,801;81,761;81,164
220;99,593;99,726;80,188;79,652
220,5;97,46;97,69;78,524;78,332
221;95,338;95,937;76,852;76,864
221,5;93,292;93,872;75,166;75,457
222;91,483;91,845;73,499;73,951
222,5;89,568;89,917;71,907;72,441
223;87,434;87,767;70,236;70,666
223,5;85,302;85,593;68,552;68,965
224;83,07;83,194;66,946;67,24
224,5;80,936;81,033;65,539;65,616
225;78,796;79,052;64,104;64,021
225,5;76,726;77,068;62,435;62,48
226;74,742;75,017;60,751;60,827
226,5;72,778;73,047;58,954;59,094
227;70,86;71,245;57,314;57,511
227,5;69,075;69,492;55,852;56,085
228;67,327;67,871;54,45;54,677
228,5;65,822;66,46;53,27;53,485
229;64,55;65,227;52,279;52,516
229,5;63,321;64,041;51,366;51,614
230;62,13;62,812;50,407;50,658
230,5;60,804;61,495;49,307;49,601
231;59,37;59,936;48,071;48,357
231,5;57,805;58,286;46,718;47,011
232;56,101;56,555;45,268;45,545
